life_expectancy_years,child_mortality_0_5_year_olds_dying_per_1000_born,children_and_elderly_per_100_adults,children_per_woman_total_fertility,crude_death_rate_deaths_per_1000_population,income_per_person_gdppercapita_ppp_inflation_adjusted,population_growth_annual_percent_with_projections,population_total,life_expectancy_sex_ratio,population_sex_ratio,country
75.13,4.511,54.334,1.57,15.12,25524.0,-0.999,1929938.0,0.8790409821630732,0.849707104629587,lva
75.46,24.01,50.871,2.42,5.116,7719.0,1.237,36191805.0,0.969033573853442,0.9818562727318176,mar
72.41,14.895,37.538,1.23,11.629,5330.0,-0.266,4041065.0,0.8876856354317255,0.9209892952165272,mda
63.4,42.343,78.25,4.08,6.059,1455.0,2.663,26262810.0,0.9527699695479036,0.9950582394378822,mdg
80.08,7.753,47.173,2.01,3.268,12984.0,1.735,444259.0,0.9735165474173894,1.3218978331085955,mdv
76.78,13.826,50.227,2.12,4.911,17288.0,1.21,130759074.0,0.940410615923886,0.9917436186714224,mex
62.91,103.309,98.695,5.88,9.666,2021.0,3.001,19107706.0,0.974437148217636,1.0025394731339965,mli
81.75,6.318,52.258,1.48,8.981,37938.0,0.279,432089.0,0.9618732169624292,1.0092676983743163,mlt
70.31,50.322,46.748,2.17,8.243,6104.0,0.896,53855735.0,0.9312984818062316,0.9546990356029506,mmr
68.69,16.803,50.418,2.67,6.367,12100.0,1.452,3121772.0,0.8875869347549589,0.9779570164989736,mng
61.07,71.288,92.604,5.12,9.574,1196.0,2.85,30528673.0,0.9299492550907552,0.9559505584857296,moz
70.57,80.646,74.202,4.55,7.738,3671.0,2.654,4540068.0,0.9522485288920982,1.0167753960857409,mrt
74.89,13.206,40.429,1.43,8.309,21003.0,0.246,1268315.0,0.9111345901701948,0.977119073414446,mus
61.03,54.78,92.088,4.44,6.962,1134.0,2.861,19164728.0,0.9224922642473038,0.9820712312627488,mwi
75.91,7.407,42.74,2.0,5.075,27248.0,1.296,32042458.0,0.941708117532434,1.0651594907335646,mys
65.69,43.377,66.363,3.3,6.962,10549.0,2.091,2587801.0,0.9134917604206444,0.9481545666636304,nam
62.45,87.583,113.651,7.13,9.265,949.0,3.807,22311375.0,0.9660745745179484,1.0067823434927872,ner
66.14,97.901,86.639,5.39,11.876,5569.0,2.572,195875237.0,0.9701584538960804,1.027748688541225,nga
78.72,18.114,52.125,2.14,4.818,5470.0,1.063,6284757.0,0.9239148353390229,0.9725604454859148,nic
81.92,3.254,55.134,1.75,8.729,48542.0,0.284,17084459.0,0.9594351212413974,0.9912699581942644,nld
82.39,2.261,53.873,1.83,7.834,64846.0,0.892,5353363.0,0.9563175867956744,1.0202238812447475,nor
71.51,31.38,57.095,2.05,6.208,2424.0,1.075,29624035.0,0.95438079365298,0.944505066117956,npl
81.77,5.346,55.826,1.97,6.965,36354.0,0.912,4749598.0,0.9612878588987804,0.967410754968643,nzl
78.06,9.676,33.625,2.52,2.471,38900.0,3.795,4829946.0,0.948347702048324,1.957286026024408,omn
67.96,76.799,64.435,3.35,7.176,5221.0,1.888,200813818.0,0.968778087197395,1.0561094661262325,pak
79.4,15.851,52.91,2.46,5.066,23374.0,1.533,4162618.0,0.9275615119092954,1.0037522756745672,pan
80.21,14.333,52.506,2.34,5.669,12723.0,1.18,32551815.0,0.9323494022170452,0.9976649792297358,per
70.55,25.964,56.544,2.86,6.57,7957.0,1.497,106512074.0,0.9053759609718663,1.0122520173280425,phl
61.14,53.261,64.717,3.56,7.08,2804.0,1.992,8418346.0,0.9268032499415478,1.0354590174438356,png
78.19,4.584,48.108,1.29,10.521,27668.0,-0.187,38104832.0,0.9059242401996772,0.9338082522640956,pol
81.3,2.526,54.689,1.24,10.871,27909.0,-0.364,10291196.0,0.9325961219361872,0.8987362604416032,prt
74.78,20.058,55.54,2.43,5.825,9279.0,1.238,6896908.0,0.941346102968411,1.0286962386742984,pry
80.71,7.983,20.436,1.87,1.597,121033.0,1.945,2694849.0,0.9693693019543282,2.986395171669058,qat
75.53,8.468,51.341,1.54,13.01,23399.0,-0.5,19580634.0,0.9129209934561258,0.9396324128134468,rou
71.07,7.327,47.434,1.76,13.578,24786.0,-0.033,143964709.0,0.8554798262272053,0.8682354372925313,rus
68.33,36.602,74.735,3.74,5.733,1932.0,2.344,12501156.0,0.938238069367798,0.9623477791587932,rwa
68.77,63.082,75.116,4.41,7.288,4441.0,2.386,41511526.0,0.9507460219674544,0.9993812308290289,sdn
66.85,42.899,86.615,4.62,5.604,2573.0,2.741,16294270.0,0.9421871638580136,0.9666052138166928,sen
84.03,2.52,39.614,1.26,5.2,83888.0,1.376,5791901.0,0.9534199702356538,0.9768619395955012,sgp
60.0,108.897,79.137,4.26,12.283,1492.0,2.111,7719729.0,0.976247745039086,0.9816574780784336,sle
75.75,13.902,52.237,2.04,6.793,8293.0,0.527,6411558.0,0.8846040924699066,0.8840619444322005,slv
58.03,126.371,96.79,6.08,10.859,629.0,2.943,15181925.0,0.9424406652962064,0.9926185352464942,som
76.17,5.699,52.593,1.62,12.758,14815.0,-0.326,8762027.0,0.9278544061302682,0.9555072990990228,srb
60.72,85.36,81.459,4.7,10.488,1822.0,2.661,12919053.0,0.9637460695164444,1.004715929307768,ssd
70.86,33.816,80.41,4.33,6.478,3185.0,2.167,208818.0,0.9368230524181872,0.9921103595653544,stp
71.62,19.23,49.66,2.32,7.444,13150.0,0.852,568301.0,0.912764028163004,1.0067124521106618,sur
77.16,5.647,44.458,1.47,10.095,31357.0,0.031,5449816.0,0.9140241706102272,0.9460163870854398,svk
81.12,2.169,53.48,1.65,9.895,30946.0,0.046,2081260.0,0.9343228156206482,0.9873279446940364,svn
82.37,2.569,62.022,1.91,9.049,47520.0,0.713,9982709.0,0.960719064931374,1.0029548626521572,swe
58.64,60.504,69.074,2.98,9.23,7604.0,1.731,1391385.0,0.8984955092247333,0.9385343942397852,swz
60.52,122.643,98.343,5.75,12.48,1855.0,2.978,15353184.0,0.9544973158529014,1.002446260779016,tcd
